19/05/2023 13:02:26|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
19/05/2023 13:42:28|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
19/05/2023 13:43:02|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
19/05/2023 13:43:02|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
19/05/2023 14:30:29|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
19/05/2023 14:30:29|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
19/05/2023 14:30:29|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
19/05/2023 14:30:48|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
19/05/2023 14:30:48|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
19/05/2023 14:30:48|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
19/05/2023 14:30:48|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
19/05/2023 14:30:48|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
19/05/2023 14:52:25|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
19/05/2023 14:52:25|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
19/05/2023 14:52:25|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
19/05/2023 14:52:25|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
19/05/2023 14:52:25|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
19/05/2023 14:56:36|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
19/05/2023 14:56:36|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
19/05/2023 14:56:36|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
19/05/2023 14:56:36|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
19/05/2023 14:56:36|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
19/05/2023 15:00:43|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
19/05/2023 15:00:43|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
19/05/2023 15:00:43|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
19/05/2023 15:00:43|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
19/05/2023 15:00:43|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
19/05/2023 15:23:13|INFO    |root                            |Throttling subtitrarinoi for 10 minutes, until 23/05/19 15:33, because of: HTTPError. Exception info: '403 Client Error: Forbidden for url: https://www.subtitrari-noi.ro/71708-subtitrari-noi.ro-Samaritan%20(2022)-343.zip'|
19/05/2023 15:33:38|INFO    |root                            |Using subtitrarinoi again after 10 minutes, (disabled because: HTTPError)|
19/05/2023 15:33:40|INFO    |root                            |Throttling subtitrarinoi for 10 minutes, until 23/05/19 15:43, because of: HTTPError. Exception info: '403 Client Error: Forbidden for url: https://www.subtitrari-noi.ro/71437-subtitrari-noi.ro-Minions%20%20The%20Rise%20of%20Gru%20%20%20Minions%202%20(2022)-392.zip'|
19/05/2023 18:51:13|INFO    |root                            |Using subtitrarinoi again after 10 minutes, (disabled because: HTTPError)|
19/05/2023 18:58:17|INFO    |root                            |Throttling subtitrarinoi for 10 minutes, until 23/05/19 19:08, because of: HTTPError. Exception info: '403 Client Error: Forbidden for url: https://www.subtitrari-noi.ro/66717-subtitrari-noi.ro-Mayor%20of%20Kingstown%20(2021)-221.zip'|
19/05/2023 19:23:12|INFO    |root                            |Using subtitrarinoi again after 10 minutes, (disabled because: HTTPError)|
19/05/2023 19:47:40|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
19/05/2023 19:47:40|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
19/05/2023 19:47:40|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
19/05/2023 19:47:40|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
19/05/2023 19:47:40|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
